CID,Type,Impact,Status,First Detected,Owner,Classification,Severity,Action,Component,Category,File,Function,CWE
641854,Bad use of null-like value,Medium,New,01/18/26,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/Users/zax/Documents/Project_TPA_SCAN/VA146/TPA-F01/src/utils/generalFormatter.ts,isDisabledByContractEnd,476
641771,Bad use of null-like value,Medium,New,01/18/26,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/Users/zax/Documents/Project_TPA_SCAN/VA146/TPA-F01/src/utils/generalFormatter.ts,createNodeEdges,476
642195,Expression with no effect,Medium,New,01/18/26,Unassigned,Unclassified,Unspecified,Undecided,Other,Incorrect expression,/Users/zax/Documents/Project_TPA_SCAN/VA146/TPA-F01/src/utils/checkRestrictedPage.tsx,<script>,398
641842,Expression with no effect,Medium,New,01/18/26,Unassigned,Unclassified,Unspecified,Undecided,Other,Incorrect expression,/Users/zax/Documents/Project_TPA_SCAN/VA146/TPA-F01/src/utils/ThemeMode.tsx,<script>,398
642235,Expression with no effect,Medium,New,01/18/26,Unassigned,Unclassified,Unspecified,Undecided,Other,Incorrect expression,/Users/zax/Documents/Project_TPA_SCAN/VA146/TPA-F01/src/utils/LocalSwitcher.tsx,<script>,398
641945,Expression with no effect,Medium,New,01/18/26,Unassigned,Unclassified,Unspecified,Undecided,Other,Incorrect expression,/Users/zax/Documents/Project_TPA_SCAN/VA146/TPA-F01/src/hooks/useUserPermissions.ts,<script>,398
642236,Expression with no effect,Medium,New,01/18/26,Unassigned,Unclassified,Unspecified,Undecided,Other,Incorrect expression,/Users/zax/Documents/Project_TPA_SCAN/VA146/TPA-F01/src/hook/fetchMaster_backup.ts,<script>,398
641850,Expression with no effect,Medium,New,01/18/26,Unassigned,Unclassified,Unspecified,Undecided,Other,Incorrect expression,/Users/zax/Documents/Project_TPA_SCAN/VA146/TPA-F01/src/hook/fetchMaster.ts,<script>,398
642188,Expression with no effect,Medium,New,01/18/26,Unassigned,Unclassified,Unspecified,Undecided,Other,Incorrect expression,/Users/zax/Documents/Project_TPA_SCAN/VA146/TPA-F01/src/context/ThemeContext.tsx,<script>,398
642191,Expression with no effect,Medium,New,01/18/26,Unassigned,Unclassified,Unspecified,Undecided,Other,Incorrect expression,/Users/zax/Documents/Project_TPA_SCAN/VA146/TPA-F01/src/components/table/GeneralTable.tsx,<script>,398
642066,Same on both sides,Medium,New,01/18/26,Unassigned,Unclassified,Unspecified,Undecided,Other,Incorrect expression,/Users/zax/Documents/Project_TPA_SCAN/VA146/TPA-F01/src/components/table/AppTable.tsx,AppTable,1025
641965,Property access or function call before check for null or undefined,Medium,New,01/18/26,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/Users/zax/Documents/Project_TPA_SCAN/VA146/TPA-F01/src/components/table/AppTable.tsx,<anonymous>,476
641933,Expression with no effect,Medium,New,01/18/26,Unassigned,Unclassified,Unspecified,Undecided,Other,Incorrect expression,/Users/zax/Documents/Project_TPA_SCAN/VA146/TPA-F01/src/components/table/AppTable.tsx,<script>,398
641906,Same on both sides,Medium,New,01/18/26,Unassigned,Unclassified,Unspecified,Undecided,Other,Incorrect expression,/Users/zax/Documents/Project_TPA_SCAN/VA146/TPA-F01/src/components/table/AppTable.tsx,AppTable,1025
641830,Property access or function call before check for null or undefined,Medium,New,01/18/26,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/Users/zax/Documents/Project_TPA_SCAN/VA146/TPA-F01/src/components/table/AppTable.tsx,<anonymous>,476
641818,Expression with no effect,Medium,New,01/18/26,Unassigned,Unclassified,Unspecified,Undecided,Other,Incorrect expression,/Users/zax/Documents/Project_TPA_SCAN/VA146/TPA-F01/src/components/other/uploadProps.tsx,<script>,398
641872,Identical code for different branches,Medium,New,01/18/26,Unassigned,Unclassified,Unspecified,Undecided,Other,Incorrect expression,/Users/zax/Documents/Project_TPA_SCAN/VA146/TPA-F01/src/components/other/tooltipSideMenu.tsx,TooltipWrapper,398
642169,Bad use of null-like value,Medium,New,01/18/26,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/Users/zax/Documents/Project_TPA_SCAN/VA146/TPA-F01/src/components/other/selectBoxMultiForm.tsx,render,476
642125,Expression with no effect,Medium,New,01/18/26,Unassigned,Unclassified,Unspecified,Undecided,Other,Incorrect expression,/Users/zax/Documents/Project_TPA_SCAN/VA146/TPA-F01/src/components/other/selectBoxFormComponent.tsx,<script>,398
642124,Expression with no effect,Medium,New,01/18/26,Unassigned,Unclassified,Unspecified,Undecided,Other,Incorrect expression,/Users/zax/Documents/Project_TPA_SCAN/VA146/TPA-F01/src/components/other/notifyStorage.tsx,<script>,398
642063,Expression with no effect,Medium,New,01/18/26,Unassigned,Unclassified,Unspecified,Undecided,Other,Incorrect expression,/Users/zax/Documents/Project_TPA_SCAN/VA146/TPA-F01/src/components/other/nodataTable.tsx,<script>,398
642121,Property access or function call before check for null or undefined,Medium,New,01/18/26,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/Users/zax/Documents/Project_TPA_SCAN/VA146/TPA-F01/src/components/other/motherDynamicTable2.tsx,<anonymous>,476
642094,Property access or function call before check for null or undefined,Medium,New,01/18/26,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/Users/zax/Documents/Project_TPA_SCAN/VA146/TPA-F01/src/components/other/motherDynamicTable2.tsx,<anonymous>,476
642079,Property access or function call before check for null or undefined,Medium,New,01/18/26,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/Users/zax/Documents/Project_TPA_SCAN/VA146/TPA-F01/src/components/other/motherDynamicTable2.tsx,<anonymous>,476
